Customer_ID,Customer_Name,Email,Phone,City,State,Customer_Type,Registeration_Date
C0001,Priya Verma,priya.verma@gmail.com,9558781873,surat,gujarat,VIP,2023-06-13 00:00:00
C0002,Neha Sharma,neha.sharma@gmail.com,8996668602,chennai,tamil nadu,Regular,2025-12-08 00:00:00
C0005,Vikas Singh,vikas.singh@gmail,7951445658,kolkata,west bengal,VIP,2024-07-05 00:00:00
C0006,Pooja Joshi,pooja.joshi@gmail.com,8545833869,lucknow,uttar pradesh,Premium,2023-01-29 00:00:00
C0009,Suresh Kaur,suresh.kaur@gmail,Not Available,mumbai,maharashtra,Regular,2024-02-28 00:00:00
C0010,Kavita Chauhan,kavita.chauhan@gmail.com,8258093032,hyderabad,telangana,VIP,2023-03-13 00:00:00
C0011,Neha Verma,unknown,7953487391,bengaluru,karnataka,Premium,2025-08-27 00:00:00
C0012,Simran Mehta,simran.mehta@gmail.com,8764635577,delhi,delhi,VIP,2023-03-09 00:00:00
C0014,Arjun Singh,arjun.singh@gmail.com,9665292162,indore,madhya pradesh,New,2023-11-30 00:00:00
C0015,Neha Yadav,neha.yadav@gmail.com,7749960739,bhopal,madhya pradesh,Regular,2024-04-05 00:00:00
C0016,Isha Gupta,isha.gupta@gmail.com,9207873733,ahmedabad,gujarat,Regular,2023-02-15 00:00:00
C0017,Rohan Desai,rohan.desai@gmail.com,9090366319,chennai,tamil nadu,VIP,2024-06-08 00:00:00
C0020,Mohit Kaur,mohit.kaur@gmail.com,7334417350,indore,madhya pradesh,VIP,2024-10-12 00:00:00
C0021,Suresh Gupta,suresh.gupta@gmail.com,9303892561,lucknow,uttar pradesh,VIP,2024-05-30 00:00:00
C0022,Rahul Kaur,rahul.kaur@gmail.com,9398868010,chennai,tamil nadu,VIP,2024-05-16 00:00:00
C0023,Aditya Gupta,aditya.gupta@gmail.com,7725783958,ahmedabad,gujarat,VIP,2023-12-16 00:00:00
C0024,Aditya Yadav,aditya.yadav@gmail.com,9459429548,jaipur,rajasthan,Regular,2025-07-23 00:00:00
C0025,Nikhil Mehta,unknown,8640724675,mumbai,maharashtra,VIP,2023-11-21 00:00:00
C0026,Simran Joshi,simran.joshi@gmail.com,9535385657,bhopal,madhya pradesh,Regular,2023-03-16 00:00:00
C0027,Amit Singh,amit.singh@gmail.com,9896089430,indore,madhya pradesh,VIP,2025-06-30 00:00:00
C0029,Aditya Sharma,aditya.sharma@gmail.com,7550606479,indore,madhya pradesh,Regular,2023-02-16 00:00:00
C0030,Rohan Joshi,rohan.joshi@gmail.com,9096471391,ahmedabad,gujarat,New,2024-06-12 00:00:00
C0031,Amit Joshi,amit.joshi@gmail.com,7484846239,pune,maharashtra,VIP,2024-01-28 00:00:00
C0032,Suresh Reddy,suresh.reddy@gmail.com,8942189222,bengaluru,karnataka,New,2025-10-01 00:00:00
C0035,Rahul Yadav,rahul.yadav@gmail.com,7394884830,surat,gujarat,New,2024-03-12 00:00:00
C0039,Meena Kaur,meena.kaur@gmail.com,9568713374,jaipur,rajasthan,Regular,2023-05-11 00:00:00
C0041,Vikas Patel,vikas.patel@gmail.com,9239279558,chennai,tamil nadu,VIP,2024-11-13 00:00:00
C0042,Rahul Singh,rahul.singh@gmail.com,7856247605,indore,madhya pradesh,Premium,2023-07-18 00:00:00
C0043,Neha Kaur,neha.kaur@gmail.com,Not Available,chennai,tamil nadu,VIP,2025-08-01 00:00:00
C0044,Pooja Desai,pooja.desai@gmail.com,7339428835,pune,maharashtra,Regular,2025-12-07 00:00:00
C0045,Amit Kaur,amit.kaur@gmail.com,7938711724,delhi,delhi,New,2023-12-30 00:00:00
C0047,Priya Kumar,priya.kumar@gmail.com,8430398942,lucknow,uttar pradesh,Premium,2024-04-20 00:00:00
C0048,Meena Joshi,meena.joshi@gmail.com,9625401719,indore,madhya pradesh,New,2023-01-09 00:00:00
C0049,Nikhil Mishra,nikhil.mishra@gmail.com,9845587379,kolkata,west bengal,Regular,2024-05-16 00:00:00
C0050,Rahul Shah,rahul.shah@gmail.com,7590521614,indore,madhya pradesh,Premium,2024-07-03 00:00:00
C0051,Amit Verma,amit.verma@gmail.com,8903155722,chennai,tamil nadu,New,2023-01-03 00:00:00
C0052,Neha Reddy,unknown,7750338556,indore,madhya pradesh,Regular,2024-02-29 00:00:00
C0053,Pooja Yadav,pooja.yadav@gmail.com,8341957809,pune,maharashtra,Regular,2023-08-26 00:00:00
C0056,Meena Yadav,meena.yadav@gmail.com,7634268193,indore,madhya pradesh,Premium,2025-01-26 00:00:00
C0057,Sneha Reddy,sneha.reddy@gmail.com,9434757387,vadodara,gujarat,Regular,2023-12-01 00:00:00
C0058,Riya Desai,riya.desai@gmail.com,8148717504,chennai,tamil nadu,VIP,2024-04-19 00:00:00
C0059,Anjali Reddy,anjali.reddy@gmail.com,8418435511,lucknow,uttar pradesh,Premium,2024-10-15 00:00:00
C0060,Suresh Kaur,suresh.kaur@gmail.com,8821239360,kolkata,west bengal,Regular,2025-09-04 00:00:00
C0062,Rohan Verma,rohan.verma@gmail.com,9510504153,delhi,delhi,VIP,2023-12-13 00:00:00
C0063,Nikhil Shah,nikhil.shah@gmail.com,9765414165,surat,gujarat,New,2025-06-20 00:00:00
C0064,Kavita Kaur,kavita.kaur@gmail.com,7558617715,jaipur,rajasthan,VIP,2023-10-14 00:00:00
